time,lambda_0,lambda_1
35.26383197,2.949851174,107.8027007
35.2744774,2.939988289,104.0869938
35.29269206,2.908827,89.83257651
35.30393023,2.90518279,88.7549295
35.30974959,2.917762661,95.55208387
35.31054586,2.946082436,110.1212651
35.33691973,2.891060532,83.02862017
35.42315109,2.79462726,34.90271927
35.42420284,2.824597151,50.28009316
35.4310554,2.844413462,60.48003026
35.43376793,2.869870862,73.55000097
35.44824602,2.867346999,72.31435919
35.4853523,2.829598473,53.0451718
35.51619304,2.817591414,46.92522542
35.57306712,2.793185345,34.43809771
35.58065616,2.816292452,46.29160564
35.59987288,17.45439598,33.14474804
35.65983255,7.203693025,29.47956159
35.66221288,7.027168873,44.34113347
35.66963608,6.466281788,54.91237672
35.74780465,18.18083482,15.4793639
35.8513311,4.714863865,22.31626674
35.85235689,4.705870032,37.96444334
36.01651999,2.84083543,22.23043533
36.18424167,2.770615216,21.59590916
36.20685366,17.4217356,15.58721516
36.20751055,31.89385934,15.48003563
36.21671525,41.6549528,13.74795928
36.22605374,35.05566674,28.25651051
36.22664759,49.33787681,28.01293766
36.23580194,56.20494506,24.19284007
36.24195348,64.67896234,22.00138698
36.2458201,74.73309262,20.76681306
36.26299967,68.4614064,16.21143111
36.26654458,63.99412545,31.44360452
36.28083503,63.42947358,24.89945795
36.28285715,61.05503883,40.1104269
36.28291448,75.65201691,40.10127159
36.28483761,87.56452377,38.80767443
36.2855215,101.0759587,38.37940994
36.30246884,87.46894955,28.8128419
36.31778563,65.14238843,38.5279012
36.31974122,77.41247678,37.27273005
36.3315807,76.3312428,30.49806331
36.38856415,40.9445845,13.18441131
36.46136044,26.30925638,6.934894943
36.46396684,39.77569987,6.867391206
36.49473584,37.41725901,6.037492209
36.51206511,41.92279657,5.762910837
36.53275711,43.30637325,5.533387315
36.53406648,42.28892409,21.5193798
36.53672977,54.90102361,20.69325353
36.56660118,46.10218584,13.66316582
36.5761962,38.56112932,28.14935679
36.5799971,35.96988935,42.45430355
36.62807195,15.47302414,35.31571106
36.6521156,25.27429103,23.77125192
36.67521077,31.60071006,16.85628334
36.68096122,28.4959639,31.56747066
36.70424199,18.93788467,37.67536541
36.73430089,11.64839706,38.90869682
36.74866575,9.454002748,46.4397258
36.75831774,22.93841256,39.19496452
36.76819157,33.98188648,33.09719766
36.76842092,48.50269458,32.99966805
36.77015024,61.61064341,32.07869109
36.78190487,49.30741092,42.40430377
36.78961217,57.31830831,37.09119686
36.79102932,70.45679599,36.2253178
36.79217577,83.58549835,35.54844743
36.79322608,96.56866378,34.9443883
36.80705215,88.56407217,27.73996008
36.81608039,74.41629955,39.98221576
36.81832179,85.93777795,38.47948523
36.82288658,93.34200665,35.58887301
36.87428626,35.17897676,31.93840243
36.88828619,41.91965204,25.38923299
36.90094561,47.81886322,20.85832445
36.915592,51.03498666,16.86105532
36.94122751,46.32453031,12.13187639
36.9747776,25.0493646,24.64275064
36.98233611,21.94999012,37.88598221
37.04622024,22.75422466,14.19143972
37.13810537,5.953540127,22.45793912
37.14386778,20.26707179,20.58797501
37.17142757,27.50215871,14.01123652
37.21106106,13.97708148,25.07540464
37.21328148,13.51998909,40.20306482
37.24805934,8.146085162,38.55605055
37.32536293,18.55240661,12.17653361
37.36015986,10.65322812,24.57514999
37.37419989,8.746057571,35.78118684
37.38836102,7.294822968,44.18750688
37.41225956,5.593754108,45.29545808
37.49523143,17.94327776,12.69220646
37.4975895,31.90652379,12.36865643
37.55325355,26.98155286,7.44745005
37.63136166,22.48346818,5.539462091
37.70462472,21.96162527,5.151030353
37.74330547,11.63665486,21.06633579
37.74564896,11.26029206,36.33034176
38.16776401,2.768782138,21.00060687
38.19327322,2.786777133,30.60402913
38.21532521,2.799774346,37.47055645
38.26031173,2.79298235,34.20142938
38.38913321,2.771296941,23.21493892
38.39070162,2.801394634,38.65218353
38.40109827,2.820265909,48.33316444
38.41659303,2.828939679,52.78422599
38.41978924,2.854364418,65.82479921
38.44314346,2.841295898,59.12430468
38.46529597,2.83471355,55.7496218
38.46779855,2.861077598,69.27167983
38.47996629,17.49781041,55.41833598
38.51407593,24.8618836,30.51491243
38.52871387,33.91012131,24.06882032
38.54581121,39.54539292,18.57554567
38.58679987,33.61536431,11.00813641
38.60812674,37.55669892,8.95087483
38.67649673,26.27083695,6.033108284
38.80782984,4.468989297,21.06900602
38.8129732,4.33075495,35.49755057
38.82627673,3.989333026,44.37137821
38.85650377,3.451809219,42.50675642
38.86942935,3.319886201,49.96126768
38.88838964,3.166730817,51.76972333
39.15191244,17.40176957,5.265486384
39.18694856,10.04461588,21.12861278
39.18843582,9.861608874,36.6556863
39.19742003,8.72084347,47.44834142
39.20493945,7.916362808,57.52052665
39.23210794,5.775781653,51.50066514
39.32247884,3.265744791,28.62455144
39.38987275,17.53724183,11.16402448
39.43023727,24.00198204,7.777269255
39.43332834,37.39089261,7.641493145
39.53151249,22.26307762,5.396562143
39.87684293,17.41910351,5.025402638
40.04996615,17.8599122,5.025986718
40.05815618,30.23862599,5.052224914
40.06893057,39.57094516,5.07200533
40.08031819,46.73221013,5.087183916
40.13241622,32.91985126,5.057901023
40.14512366,40.80963173,5.07462498
40.14578176,54.97558653,5.10465339
40.19483452,36.98506717,5.066516754
40.21868915,38.65416884,5.070054612
40.25425019,35.03709175,5.062387077
40.26183918,45.15214294,5.083828537
40.26557249,56.76422128,5.10844335
40.30227595,43.33062616,5.079967266
40.31560579,48.49449118,5.090913407
40.32976866,51.87080096,5.098070361
40.33139835,50.32631231,21.0946667
40.33467927,47.33495095,36.07201731
40.34415987,54.29558152,30.73529144
40.36384605,52.17874846,22.38859974
40.39582749,43.48014999,14.20048919
40.40625775,35.83981127,28.46697166
40.42544821,39.95207728,21.01628915
40.42604933,54.17113018,20.85589841
40.46629371,40.39827579,12.11749738
40.83491268,17.42321983,5.029475784
40.95892885,18.62913227,5.027976476
40.99609117,10.32532077,21.01005035
41.01070174,23.06600969,16.98281817
41.03551117,29.77756661,12.32440367
41.11760027,8.003178761,22.41328899
41.11914728,7.873893633,37.88251661
41.41715622,17.41280737,5.109834066
41.4414417,26.4297685,5.09631948
41.45639995,34.96717589,5.100925423
41.49819683,31.37084098,5.071384771
41.51432351,38.14028331,5.081111223
41.51540687,52.04522563,5.110326027
41.90696583,2.786528241,20.99389842
41.94147855,2.792407724,29.01701931
41.9479597,2.816715014,42.09638636
41.95960658,2.831086012,50.38653858
41.97209448,2.841211011,56.35421936
41.98813246,2.843467504,58.26077098
42.00798724,2.83936041,56.80354729
42.01015127,2.866167165,70.60896147
42.027139,2.859795082,67.7081608
42.07543769,2.814158042,44.86366741
42.09314908,17.45457446,33.0022081
42.18937264,19.54780909,9.112891172
42.30610543,4.395088636,21.39274948
42.33994818,3.610242274,29.32795019
42.34251158,3.597734112,44.11177018
42.39710214,17.68884288,18.15326763
42.44177989,8.885727705,26.37863884
42.46128343,21.5631446,19.50264955
42.47083297,32.95362099,17.01124698
42.69189314,3.130156174,21.13829761
42.83828775,2.788049248,21.85773345
42.85413899,17.43764458,17.30713248
42.89957279,23.32526308,9.987933958
43.15900684,17.51443011,5.052862961
43.16313459,31.00718494,5.079275792
43.24227908,23.20596168,5.042530831
43.2961684,9.733942378,21.01039823
43.33750043,5.828770706,28.00132999
43.34000203,5.709023777,42.87848273
43.36145311,4.702979822,45.66222778
43.36183271,4.719296614,61.35457937
43.37210242,4.382199482,66.88982282
43.37256058,4.398376961,82.32518011
43.37388084,4.386245039,96.30989624
43.44380243,3.17459074,43.54743993
43.44503622,3.195089898,58.60767478
43.45368048,3.153357753,66.09557887
43.46534699,3.097645563,69.37977545
43.48480849,3.012157814,64.62032038
43.48748281,3.028957586,77.51484334
43.5137967,2.940172151,63.83921222
43.56710508,2.837332698,41.25579269
43.61718969,2.804251946,34.31129682
43.63324728,2.816630595,42.25813326
43.65826211,2.815987158,43.58904341
43.89316617,17.40028496,5.376707117
43.92435844,25.25798186,5.230129666
43.92477019,39.73707734,5.259276186
44.22245797,17.49561191,5.025688424
44.24894334,26.089825,5.043706542
44.25633506,37.54417283,5.067947752
44.28666473,36.37727814,5.065362128
44.29386793,46.52747896,5.086860096
44.29615469,59.23356772,5.113788761
44.30042152,69.27603868,5.135067303
44.32535431,57.81256536,5.110727415
44.34219289,56.72835554,5.108411429
44.34225091,71.32955025,5.139362414
44.34822936,78.26302636,5.154054741
44.36345869,73.09549082,5.143090504
44.37346289,75.00040385,5.147123219
44.37438698,88.34089224,5.175401426
44.38162996,91.460302,5.182010693
44.38185434,105.7268399,5.212252247
44.38249909,119.0711088,5.240538645
44.38362928,131.1347898,5.266110318
44.38483727,142.7336545,5.290696673
44.3853985,155.8348246,5.318467806
44.38698593,165.7143223,5.339409393
44.38861927,175.1401432,5.359389295
44.39210375,178.1982503,5.365870573
44.39649797,178.0998328,5.365660579
44.40944344,152.7618399,5.311946694
44.41249419,158.5454784,5.32420594
44.41290944,171.9206505,5.352558012
44.425709,148.3738353,5.302641973
44.44317421,120.1004148,5.242706636
44.44952373,120.7675619,5.244120128
44.45236203,128.9177993,5.261396394
44.45798909,130.1508329,5.26400961
44.45948522,141.0585276,5.287131182
44.46763155,134.9260021,5.274131059
44.47515587,131.1214298,5.266065774
44.47874282,136.8975853,5.278309626
44.48796223,128.9702634,5.261505116
44.50206567,112.6083683,5.226821227
44.51937186,95.12619197,5.18976267
44.54063212,77.78923821,5.153012036
44.5433708,88.45265034,5.175615872
44.5486563,94.51781203,5.188472483
44.54869535,109.1099607,5.219404344
44.55434392,112.4104743,5.226400566
44.55946165,101.7713452,21.20371839
44.56503546,105.9881504,19.52487354
44.58243078,75.68017331,31.25510552
44.58714762,83.77724936,28.92205924
44.60940846,69.32164987,20.35540879
44.61504895,76.88211356,18.74773838
44.63044361,71.89666959,15.13397345
44.66506384,37.37309108,26.06764702
44.69465806,36.5638328,16.68475295
44.69616705,35.58935565,32.33713333
44.7183734,38.47132819,22.56249919
44.74768371,22.65144781,30.76961523
44.76076591,18.09775187,40.83560049
44.76174387,17.83139833,56.14131381
44.774674,29.05535474,44.51743112
44.78103668,25.94162874,55.79471501
44.7974647,19.47423533,57.56836418
44.83123021,25.91941842,31.78531586
44.83788153,37.69551102,28.4793158
44.83828822,37.44350429,44.28900158
44.8535618,28.3387813,49.94552345
44.8929416,14.41471564,41.4440094
45.14703496,2.839451241,21.22014553
45.22030342,2.790899063,24.74199312
45.22814354,2.814090779,37.87594816
45.23710188,17.46504472,32.51327519
45.31314795,5.985449616,27.00711976
45.34602129,4.450817094,32.40026596
45.67233995,17.40206516,5.065130839
45.73410189,21.66401026,5.045706402
45.96024286,17.60508379,5.025561891
45.99944588,24.18812474,5.039447513
46.15014668,3.820130283,20.99608753
46.15841638,3.686022285,34.55664694
46.79146948,2.766947657,20.99394597
46.87390981,2.772943461,24.07032589
46.88892556,17.4270993,19.1527009
46.90355225,28.36473859,15.59269374
46.9299173,17.893066,27.24920621
46.94105303,14.89800086,38.80572369
46.94451419,14.1157646,52.54426988
46.94477006,14.08887266,68.30149343
46.95666348,26.34929308,54.93076482
47.00893194,11.06857076,38.54975367
47.00932383,11.03470965,54.2877107
47.01548233,10.10416636,64.5751542
47.01645292,9.993707108,79.42966645
47.0313377,8.156176515,76.26442887
47.03711571,7.595824377,84.48639905
47.05475467,6.182276656,76.85579097
47.05751865,6.028120089,88.99104207
47.06949697,5.35793815,87.09697819
47.07423885,5.15187972,95.66828491
47.08601902,4.675914892,92.63512755
47.09274558,4.462893276,97.60328438
47.10428338,4.138181576,94.51949907
47.10781175,4.073822062,104.4195944
47.11223139,3.991818205,112.0082409
47.11291888,4.005861195,126.5468246
47.11323002,4.02917762,141.7927177
47.11787485,3.945630057,145.6569166
47.12914709,3.73262453,133.2655921
47.13674104,3.623352453,131.1910458
47.17005966,3.222789528,85.80469535
47.17307488,3.225482305,97.07540552
47.18185557,3.177802282,98.24487286
47.1910275,3.134910986,98.6162324
47.1999111,3.101129698,99.37604915
47.22095858,3.006788868,82.94846872
47.23561854,2.969105972,79.13809075
47.24223179,2.971390603,85.95222417
47.26750931,2.909077297,69.82575661
47.29950324,2.858350332,55.18333817
47.30825455,2.869860345,63.12461287
47.37932682,2.799314372,35.02456325
47.51663966,17.4036326,6.951994308
47.52211844,30.54512079,6.77985753
47.54090486,36.49872204,6.251564537
47.54746243,47.01255196,6.128064436
47.54771682,61.45165646,6.153392506
47.56230754,61.25488052,5.891020907
47.61946123,36.05764574,5.311030263
47.63932779,25.16297345,21.20698847
47.73529502,6.05708713,23.37235961
47.75757434,4.894091157,32.76430235
47.82932625,17.91346855,11.63730288
47.84608107,13.62309916,25.74566207
47.84959668,12.91507231,40.33660972
47.90238541,6.308563419,33.29038183
47.90404404,6.223184231,48.36705431
47.91362558,5.64621117,56.80321474
47.92918573,4.899047739,58.94754038
47.96176504,3.894495551,49.11547151
47.97420687,3.67042784,55.39575874
47.98146677,18.20791156,48.61508442
48.00932989,26.26161968,30.01010906
48.01188801,25.11945023,44.76234995
48.03204311,32.35732557,31.60001326
48.08921837,26.83994951,13.50436221
48.13947823,26.2210273,8.139588557
48.1682498,30.60913389,6.794321419
48.31257047,18.95421696,5.125418779
48.31518522,18.15906373,21.11865497
48.33648621,27.47257286,15.55612143
48.36108854,32.52300061,11.48245574
48.43845316,23.73897902,6.40591291
48.59060443,18.40120599,5.092338223
48.86120175,2.836858724,20.99429145
48.91306197,2.802782332,26.6650924
49.03433063,2.772873397,22.91056199
49.08190082,17.41389109,11.94438127
49.09300781,29.15385964,10.59095589
49.19441176,20.87586186,5.761503219
49.28523285,20.34925457,5.149814261
49.39229106,19.46945705,5.043320402
49.4784127,20.38871373,5.03382473
49.54553839,22.01030066,5.035423279
49.69297039,18.40975114,5.027174977
49.7083458,28.92428377,5.049454249
49.74211656,16.09547221,21.02211823
49.79763841,21.80044637,10.30492916
49.82932901,12.88201338,23.81169214
49.86801892,7.446987888,29.67369785
49.88992803,5.806674692,36.91745103
50.01250339,3.031546746,23.74450002
50.27263236,2.768572225,21.09702453
50.28178799,2.794275552,34.40249981
50.38003132,2.775148552,25.1161884
50.44946777,2.776770533,26.01218761
50.60958436,2.768612869,21.84860793
50.63269924,2.787643336,31.60952407
50.64140438,2.810546658,43.3565678
50.68543429,2.797950804,36.89650919
50.73881463,2.788331447,31.96293181
50.74345263,2.814868769,45.5737472
50.77817195,2.80645544,41.25863869
51.26996758,2.766948425,20.99579219
51.28324232,2.790869047,33.26451463
51.35695679,17.41217299,11.49730864
51.40995661,7.851695351,23.24699859
51.46821438,4.362476338,26.68651807
51.47810675,4.101666218,38.79252496
51.4781469,4.131765178,54.76532932
51.49473931,3.768720632,56.70963712
51.51694532,3.429480478,54.16371248
51.54045715,3.200425638,51.71781206
51.58803388,2.946378536,39.03619227
51.60751969,2.909593171,44.04895154
51.62873691,2.880673136,46.543602
51.64389428,2.873969547,51.67788413
51.69410082,17.4501926,22.12827812
51.71249562,27.58473116,16.88521842
51.74447642,30.50726583,11.29760141
51.74862452,28.32746717,26.79567788
51.75928577,23.44439368,38.60911448
51.76454688,21.4073047,51.25171902
51.77677067,17.38891705,57.21902485
51.78905388,14.22843185,61.84354593
51.83160331,22.30684418,29.29937069
51.83884707,34.33109749,26.05238059
51.85852402,24.08322318,35.20126327
51.86473354,21.62128128,47.67333186
51.88058031,31.15535732,36.1117415
51.88117209,45.48477999,35.77669641
51.89996874,32.12049516,42.13079704
51.90434397,29.68968111,55.01920903
51.90821839,27.71113235,67.28914997
51.9083166,27.6933178,83.16684243
51.9220149,36.37623782,64.46440055
51.92507653,49.04194587,60.96320001
51.94208433,50.35379334,44.85606605
51.96032898,35.82676938,48.66898512
51.96051863,35.73268427,64.50357041
51.96062474,50.32654006,64.40850218
51.9965609,25.96146677,49.95098683
52.00545889,22.20631373,58.6218434
52.01521685,18.78544808,65.11374101
52.02573104,15.77288793,69.71221399
52.03130875,29.0605299,62.91182153
52.03294932,42.87459513,61.07336934
52.04982811,46.03853736,45.03757368
52.05269525,58.28908755,42.83703361
52.05520641,55.59912616,56.98330898
52.06872541,43.10643432,60.66641401
52.09474769,41.39006028,38.10869445
52.11329501,44.07415619,27.87687633
52.12093795,38.24566904,40.63317334
52.13894053,42.17271042,29.8883874
52.16160269,42.46424895,20.84701835
52.17382348,48.51339883,17.44054454
